Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
620,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,1601-01-01T00:00:00Z
4,System,IPv4,TCP,LISTEN,192.168.127.130,139,0.0.0.0,0,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49365,2026-03-08T13:50:26Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49370,2026-03-08T13:50:27Z
4340,velociraptor.exe.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49369,2026-03-08T13:50:27Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,49463,2026-03-08T14:10:56Z
4340,velociraptor.exe.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,49343,2026-03-08T13:50:21Z
4340,velociraptor.exe.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,49425,2026-03-08T13:52:54Z
4340,velociraptor.exe.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,1601-01-01T00:00:00Z
416,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49152,0.0.0.0,0,1601-01-01T00:00:00Z
748,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49153,0.0.0.0,0,1601-01-01T00:00:00Z
796,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49154,0.0.0.0,0,1601-01-01T00:00:00Z
604,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49155,0.0.0.0,0,1601-01-01T00:00:00Z
508,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49157,0.0.0.0,0,1601-01-01T00:00:00Z
516,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49158,0.0.0.0,0,1601-01-01T00:00:00Z
4048,wpscloudsvr.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49204,38.60.148.108,443,1601-01-01T00:00:00Z
4048,wpscloudsvr.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49217,38.60.148.108,443,1601-01-01T00:00:00Z
4048,wpscloudsvr.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49220,38.60.148.108,443,1601-01-01T00:00:00Z
4048,wpscloudsvr.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49238,38.60.148.108,443,1601-01-01T00:00:00Z
4048,wpscloudsvr.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49239,38.60.148.108,443,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49244,71.18.1.211,443,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49245,71.18.1.211,443,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49246,71.18.1.211,443,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49247,71.18.1.211,443,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49292,3.108.89.122,80,1601-01-01T00:00:00Z
3696,promecefpluginhost.exe,IPv4,TCP,CLOSE_WAIT,192.168.127.130,49293,156.227.14.33,443,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,49343,127.0.0.1,8001,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,49365,127.0.0.1,8000,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,49369,127.0.0.1,8000,1601-01-01T00:00:00Z
4340,velociraptor.exe.exe,IPv4,TCP,ESTAB,127.0.0.1,49370,127.0.0.1,8000,1601-01-01T00:00:00Z
2512,chrome.exe,IPv4,TCP,ESTAB,192.168.127.130,49408,185.199.108.153,443,1601-01-01T00:00:00Z
2512,chrome.exe,IPv4,TCP,ESTAB,192.168.127.130,49410,149.154.170.200,443,1601-01-01T00:00:00Z
